time,strain
3.335940337,1.07E-06
3.337893581,1.13E-06
3.339846825,1.34E-06
3.341800069,1.72E-06
3.343753313,2.42E-06
3.345706557,1.86E-06
3.347659801,1.91E-06
3.349613045,1.51E-06
3.35156629,1.23E-06
3.353519534,7.16E-07
3.355472778,9.25E-07
3.357426022,1.32E-06
3.359379266,1.35E-06
3.36133251,1.69E-06
3.363285754,2.33E-06
3.365238998,2.13E-06
3.367192242,1.74E-06
3.369145486,1.64E-06
3.37109873,1.24E-06
3.373051974,7.45E-07
3.375005218,8.46E-07
3.376958462,1.18E-06
3.378911706,1.31E-06
3.38086495,1.57E-06
3.382818194,2.21E-06
3.384771438,2.23E-06
3.386724682,1.99E-06
3.388677927,1.81E-06
3.390631171,1.65E-06
3.392584415,9.48E-07
3.394537659,9.83E-07
3.396490903,1.24E-06
3.398444147,1.26E-06
3.400397391,1.53E-06
3.402350635,2.02E-06
3.404303879,2.18E-06
3.406257123,1.84E-06
3.408210367,1.75E-06
3.410163611,1.58E-06
3.412116855,1.09E-06
3.414070099,8.35E-07
3.416023343,1.14E-06
3.417976587,1.33E-06
3.419929831,1.30E-06
3.421883075,1.69E-06
3.423836319,1.97E-06
3.425789563,1.86E-06
3.427742808,1.70E-06
3.429696052,1.68E-06
3.431649296,1.32E-06
3.43360254,8.69E-07
3.435555784,9.78E-07
3.437509028,1.35E-06
3.439462272,1.43E-06
3.441415516,1.72E-06
3.44336876,2.26E-06
3.445322004,2.11E-06
3.447275248,1.64E-06
3.449228492,1.81E-06
3.451181736,1.41E-06
3.45313498,8.58E-07
3.455088224,9.44E-07
3.457041468,1.26E-06
3.458994712,1.44E-06
3.460947956,1.60E-06
3.4629012,2.26E-06
3.464854445,2.20E-06
3.466807689,1.83E-06
3.468760933,1.78E-06
3.470714177,1.46E-06
3.472667421,9.18E-07
3.474620665,8.37E-07
3.476573909,1.14E-06
3.478527153,1.49E-06
3.480480397,1.51E-06
3.482433641,2.38E-06
3.484386885,2.17E-06
3.486340129,2.01E-06
3.488293373,1.85E-06
3.490246617,1.84E-06
3.492199861,1.18E-06
3.494153105,1.13E-06
3.496106349,1.20E-06
3.498059593,1.58E-06
3.500012837,1.39E-06
3.501966082,1.95E-06
3.503919326,2.24E-06
3.50587257,2.00E-06
3.507825814,1.72E-06
3.509779058,1.96E-06
3.511732302,1.25E-06
3.513685546,8.95E-07
3.51563879,1.16E-06
3.517592034,1.38E-06
3.519545278,1.32E-06
3.521498522,1.75E-06
3.523451766,2.30E-06
3.52540501,2.11E-06
3.527358254,1.94E-06
3.529311498,1.91E-06
3.531264742,1.55E-06
